COUNTY,RACE,YEAR,POP
Fayette,NHIA,2005,60
Fayette,NHIA,2006,55
Fayette,NHIA,2007,59
Fayette,NHIA,2008,58
Fayette,NHIA,2009,59
Fayette,NHIA,2010,127
Fayette,NHIA,2011,63
Fayette,NHIA,2012,62
Fayette,NHIA,2013,60
Fayette,NHIA,2014,65
Fayette,NHIA,2015,62
Fayette,NHIA,2016,65
Fayette,NHIA,2017,67
Fayette,NHIA,2018,72
Fayette,NHIA,2019,68
Fayette,NHIA,2020,140
Fayette,NHIA,2021,66
Fayette,NHIA,2022,68
Fayette,NHIA,2023,66
Fayette,NHNA,2000,2
Fayette,NHNA,2001,2
Fayette,NHNA,2002,2
Fayette,NHNA,2003,3
Fayette,NHNA,2004,5
Fayette,NHNA,2005,5
Fayette,NHNA,2006,5
Fayette,NHNA,2007,9
Fayette,NHNA,2008,8
Fayette,NHNA,2009,9
Fayette,NHNA,2010,17
Fayette,NHNA,2011,9
Fayette,NHNA,2012,9
Fayette,NHNA,2013,9
Fayette,NHNA,2014,9
Fayette,NHNA,2015,8
Fayette,NHNA,2016,7
Fayette,NHNA,2017,8
Fayette,NHNA,2018,10
Fayette,NHNA,2019,9
Fayette,NHNA,2020,27
Fayette,NHNA,2021,13
Fayette,NHNA,2022,12
Fayette,NHNA,2023,10
Fayette,NHTOM,2000,284
Fayette,NHTOM,2001,295
Fayette,NHTOM,2002,318
Fayette,NHTOM,2003,331
Fayette,NHTOM,2004,359
Fayette,NHTOM,2005,363
Fayette,NHTOM,2006,361
Fayette,NHTOM,2007,376
Fayette,NHTOM,2008,421
Fayette,NHTOM,2009,438
Fayette,NHTOM,2010,924
Fayette,NHTOM,2011,468
Fayette,NHTOM,2012,469
Fayette,NHTOM,2013,487
Fayette,NHTOM,2014,485
Fayette,NHTOM,2015,538
Fayette,NHTOM,2016,573
Fayette,NHTOM,2017,593
Fayette,NHTOM,2018,624
Fayette,NHTOM,2019,609
Fayette,NHTOM,2020,1235
Fayette,NHTOM,2021,662
Fayette,NHTOM,2022,675
Fayette,NHTOM,2023,684
Fayette,NHWA,2000,27106
Fayette,NHWA,2001,26862
Fayette,NHWA,2002,26867
Fayette,NHWA,2003,26916
Fayette,NHWA,2004,26893
Fayette,NHWA,2005,27113
Fayette,NHWA,2006,27183
Fayette,NHWA,2007,27227
Fayette,NHWA,2008,27163
Fayette,NHWA,2009,27141
Fayette,NHWA,2010,54493
Fayette,NHWA,2011,27081
Fayette,NHWA,2012,26992
Fayette,NHWA,2013,26855
Fayette,NHWA,2014,26739
Fayette,NHWA,2015,26628
Fayette,NHWA,2016,26633
Fayette,NHWA,2017,26539
Fayette,NHWA,2018,26418
Fayette,NHWA,2019,26272
Fayette,NHWA,2020,52886
Fayette,NHWA,2021,26482
Fayette,NHWA,2022,26342
Fayette,NHWA,2023,26293
Fayette,TOM,2000,295
Fayette,TOM,2001,306
Fayette,TOM,2002,328
Fayette,TOM,2003,342
Fayette,TOM,2004,367
Fayette,TOM,2005,373
Fayette,TOM,2006,372
Fayette,TOM,2007,389
Fayette,TOM,2008,434
Fayette,TOM,2009,449
Fayette,TOM,2010,951
Fayette,TOM,2011,486
Fayette,TOM,2012,484
Fayette,TOM,2013,504
Fayette,TOM,2014,508
Fayette,TOM,2015,560
Fayette,TOM,2016,595
Fayette,TOM,2017,619
Fayette,TOM,2018,653
Fayette,TOM,2019,638
Fayette,TOM,2020,1288
Fayette,TOM,2021,691
Fayette,TOM,2022,719
Fayette,TOM,2023,720
Fayette,TOT,2000,28495
Fayette,TOT,2001,28310
Fayette,TOT,2002,28370
Fayette,TOT,2003,28450
Fayette,TOT,2004,28470
Fayette,TOT,2005,28695
Fayette,TOT,2006,28791
Fayette,TOT,2007,28908
Fayette,TOT,2008,28896
Fayette,TOT,2009,28929
Fayette,TOT,2010,58059
Fayette,TOT,2011,28870
Fayette,TOT,2012,28770
Fayette,TOT,2013,28690
